Start Location,"DIGI145"
End Location,"DIGI157"
Project,RL Viz Test
Start Date,8/3/2016 12:00 AM
End Date,12/31/2016 11:59 PM

Trip Distance(mi),25.63
Expected Travel Time(s),1651 (27:31)
Number of Trips,73563
Average Speed(mph),61.3
Average Travel Time(s),1505.5 (25:05)
Standard Deviation,443.5
15th Percentile Travel Time(s),1426 (23:46)
85th Percentile Travel Time(s),1676 (27:56)
95th Percentile Travel Time(s),2380 (39:40)

* - Values are estimates due to missing data.

Start Time,Average Speed(mph),Average Travel Time(s),Number of Trips
"8/7/2016 9:30:00 AM*",65.1,1418,20
"8/7/2016 9:45:00 AM",68.5,1347,18
"8/7/2016 10:00:00 AM*",66.4,1391,18
"8/7/2016 10:15:00 AM",65.7,1404,19
"8/7/2016 10:30:00 AM",27.2,3395,19
"8/7/2016 10:45:00 AM",67.7,1364,20
"8/7/2016 11:00:00 AM",63.8,1446,24
"8/7/2016 11:15:00 AM",61.6,1499,18
"8/7/2016 11:30:00 AM",29.8,3100,32
"8/7/2016 11:45:00 AM",67.1,1376,31
"8/7/2016 12:00:00 PM",64.8,1424,21
"8/7/2016 12:15:00 PM*",64.8,1425,21
"8/7/2016 12:30:00 PM*",65,1419,30
"8/7/2016 12:45:00 PM*",65.2,1415,18
"8/7/2016 1:00:00 PM*",63.5,1454,14
"8/7/2016 1:15:00 PM",67,1378,20
"8/7/2016 1:30:00 PM*",65.6,1408,21
"8/7/2016 1:45:00 PM",41.5,2224,21
"8/7/2016 2:00:00 PM*",64.5,1432,10
"8/7/2016 2:15:00 PM",70.3,1313,17
"8/7/2016 2:30:00 PM",64.9,1421,17
"8/7/2016 2:45:00 PM*",63.4,1456,18
"8/7/2016 3:00:00 PM",66.9,1380,18
"8/7/2016 3:15:00 PM",70.9,1301,16
"8/7/2016 3:30:00 PM*",65.7,1404,12
"8/7/2016 3:45:00 PM",65.4,1412,8
"8/7/2016 4:00:00 PM",66.4,1389,17
"8/7/2016 4:15:00 PM*",64.2,1438,17
"8/7/2016 4:30:00 PM",66.5,1388,14
"8/7/2016 4:45:00 PM*",64.5,1432,19
"8/7/2016 5:00:00 PM",67.8,1361,13
"8/7/2016 5:15:00 PM",70.9,1301,19
"8/7/2016 5:30:00 PM*",65.4,1410,17
"8/7/2016 5:45:00 PM",67,1377,17
"8/7/2016 6:00:00 PM",71.2,1296,20
"8/7/2016 6:15:00 PM*",55.1,1676,8
"8/7/2016 6:30:00 PM",69,1337,20
"8/7/2016 6:45:00 PM*",64.4,1433,10
"8/7/2016 7:00:00 PM*",64.4,1433,10
"8/7/2016 7:15:00 PM",66.7,1384,8
"8/7/2016 7:30:00 PM*",64.4,1433,11
"8/7/2016 7:45:00 PM*",60.1,1536,7
"8/7/2016 8:00:00 PM*",65.2,1416,14
"8/7/2016 8:15:00 PM*",62,1489,16
"8/7/2016 8:30:00 PM",35.6,2595,9
"8/7/2016 8:45:00 PM",66.3,1392,19
"8/7/2016 9:00:00 PM*",65,1419,10
"8/7/2016 9:15:00 PM",66.7,1385,11
"8/7/2016 9:30:00 PM",66.7,1383,20
"8/7/2016 9:45:00 PM*",65.8,1402,14
"8/7/2016 10:00:00 PM*",64.2,1437,10
"8/7/2016 10:15:00 PM",43.1,2141,15
"8/7/2016 10:30:00 PM*",59.5,1550,1
"8/7/2016 10:45:00 PM*",62.5,1477,9
"8/7/2016 11:00:00 PM*",64.5,1430,9
"8/7/2016 11:15:00 PM*",62.9,1467,5
"8/7/2016 11:30:00 PM*",50.9,1814,3
"8/7/2016 11:45:00 PM*",63.4,1457,3
"8/8/2016 12:00:00 AM",31.4,2939,10
"8/8/2016 12:15:00 AM*",64.6,1429,5
"8/8/2016 12:30:00 AM",65.6,1406,5
"8/8/2016 12:45:00 AM*",59.9,1541,8
"8/8/2016 1:00:00 AM*",62.4,1479,3
"8/8/2016 1:15:00 AM",66.7,1385,5
"8/8/2016 1:30:00 AM*",60.2,1534,1
"8/8/2016 1:45:00 AM*",63.3,1458,3
"8/8/2016 2:15:00 AM*",62.9,1466,4
"8/8/2016 2:30:00 AM*",56.4,1636,3
"8/8/2016 2:45:00 AM*",58.6,1575,5
"8/8/2016 3:00:00 AM*",64.9,1421,2
"8/8/2016 3:45:00 AM",43.3,2132,4
"8/8/2016 4:00:00 AM*",65.3,1414,2
